Row,Building,City,Height m,Height ft,Floors,Year,Status
295,Strata,London,147.85 m,485.07 ft,43 floors,2010,completed
296,Dentsu Headquarters Building,Tokyo,213.34 m,699.93 ft,48 floors,2002,completed
297,Merdeka PNB118,Kuala Lumpur,644.00 m,2112.86 ft,118 floors,2021,frame assembly
298,Marina Bay Sands Hotel,Singapore,206.90 m,678.81 ft,57 floors,2010,completed
299,Bank of America Corporate Center,Charlotte,265.48 m,871.01 ft,60 floors,1992,completed
300,TC Energy Center,Houston,237.75 m,780.01 ft,56 floors,1983,completed
301,Torre Ernest Hemingway,Rio de Janeiro,107.94 m,354.13 ft,36 floors,1977,completed
302,UOB Plaza One,Singapore,280.00 m,918.63 ft,66 floors,1992,completed
303,Entertainment Building,Hong Kong,186.45 m,611.71 ft,33 floors,1993,completed
304,Prototype,Bangkok,52 floors,,completed
305,Panorama Tower,Leipzig,142.00 m,465.88 ft,36 floors,1971,completed
306,Capella Tower,Minneapolis,236.53 m,776.01 ft,56 floors,1992,completed
307,The Royalton,Pasig,230.00 m,754.59 ft,65 floors,2019,topped out
308,50 West Street,New York City,237.06 m,777.77 ft,65 floors,2017,completed
309,Torre Sacyr Vallehermoso,Madrid,236.00 m,774.28 ft,52 floors,2008,completed
310,Citigroup Center,New York City,278.90 m,915.01 ft,59 floors,1977,completed
311,JenTower,Jena,144.50 m,474.08 ft,30 floors,1973,completed
312,Vdara,Las Vegas,168.86 m,554.01 ft,55 floors,2009,completed
313,Aria Resort & Casino,Las Vegas,182.88 m,600.01 ft,60 floors,2009,completed
314,Duke Energy Center,Charlotte,239.73 m,786.50 ft,48 floors,2009,completed
315,Two International Finance Centre,Hong Kong,412.00 m,1351.71 ft,88 floors,2003,completed
316,Silver Tower,Frankfurt am Main,166.30 m,545.60 ft,32 floors,2012,completed
317,Torre Lugano,Benidorm,158.00 m,518.37 ft,43 floors,2008,completed
318,One Rincon Hill South Tower,San Francisco,184.41 m,605.01 ft,54 floors,2008,completed
319,Times Square Tower,New York City,221.29 m,726.01 ft,47 floors,2004,completed
320,New York Marriott Marquis,New York City,174.96 m,574.01 ft,56 floors,1985,completed
321,The Concourse,Singapore,180.00 m,590.55 ft,42 floors,1994,completed
322,University Hall,Chicago,103.02 m,338.01 ft,28 floors,1965,completed
323,Residence Inn Philadelphia Center City,Philadelphia,106.00 m,347.77 ft,24 floors,1930,completed
324,Dome Tower,Calgary,141.00 m,462.60 ft,30 floors,1977,completed
325,New York Stock Exchange Tower,New York City,546.00 m,1791.34 ft,140 floors,,canceled
326,Chamber of Commerce Building,New York City,106.68 m,350.00 ft,27 floors,1926,completed
327,Centennial Place 1,Calgary,165.10 m,541.67 ft,40 floors,2010,completed
328,One Hanson Place,New York City,156.06 m,512.00 ft,42 floors,1929,completed
329,West 65 Tower,Belgrade,146.00 m,479.00 ft,40 floors,,frame assembly
330,FOUR Frankfurt - Tower 3,Frankfurt am Main,120.00 m,393.70 ft,33 floors,2023,foundation work
331,FOUR Frankfurt - Tower 4,Frankfurt am Main,100.00 m,328.08 ft,28 floors,2023,foundation work
332,Western Union Building,New York City,113.08 m,371.00 ft,24 floors,1930,completed
333,177 Huntington Avenue,Boston,112.78 m,370.00 ft,23 floors,1973,completed
334,Embassy Suites New York Midtown Manhattan,New York City,40 floors,2017,completed
335,St. Petersburg,Moscow,256.90 m,842.85 ft,65 floors,2010,completed
