Row,Building,City,Height m,Height ft,Floors,Year,Status
4233,Jinao Tower,Nanjing,231.20 m,758.53 ft,56 floors,2014,completed
4234,KDDI Otemachi Building,Tokyo,106.68 m,350.00 ft,23 floors,1991,completed
4235,Jumeirah Bay 2,Dubai,47 floors,2009,completed
4236,Riana Green east.KL Tower 4,Kuala Lumpur,40 floors,2012,proposed
4237,278 Project Tower I,Haikou,260.00 m,853.02 ft,78 floors,,interrupted
4238,The Sharp Centum Park 106,Busan,157.55 m,516.90 ft,51 floors,2005,completed
4239,Vue De Lac 2,Dubai,45 floors,2010,proposed
4240,Greenland Zhengzhou Central Plaza South,Zhengzhou,283.90 m,931.43 ft,63 floors,2017,completed
4241,R&F Center Tower 2,Tianjin,200.00 m,656.17 ft,47 floors,2014,completed
4242,Signature Place Apartments I,Stamford,106.68 m,350.00 ft,37 floors,,canceled
4243,Angel Place Tower,Sydney,244.00 m,800.52 ft,56 floors,,canceled
4244,NTT Makuhari Building,Chiba,123.46 m,405.05 ft,26 floors,1993,completed
4245,Zhongshui Plaza,Guangzhou,173.00 m,567.59 ft,46 floors,,interrupted
4246,Kwong Sui House,Hong Kong,40 floors,1998,completed
4247,Tierra Verde 6,Hong Kong,131.00 m,429.79 ft,46 floors,1999,completed
4248,Canopus Tower A,Salford,160.00 m,524.93 ft,46 floors,,proposed
4249,Conde Pereira Carneiro,Rio de Janeiro,132.91 m,436.06 ft,43 floors,1976,completed
4250,Dalian Tian An Tower,Dalian,214.00 m,702.10 ft,52 floors,2000,completed
4251,World Mansion,Chongqing,215.20 m,706.04 ft,54 floors,,canceled
4252,KDDI Building,Tokyo,165.00 m,541.34 ft,32 floors,1974,completed
4253,Atago Green Hills Mori Tower,Tokyo,187.00 m,613.51 ft,42 floors,2001,completed
4254,Sky Tower 5,Hong Kong,164.70 m,540.35 ft,52 floors,2004,completed
4255,Yindong Building,Shanghai,130.15 m,427.00 ft,30 floors,1997,completed
4256,Hoi Fai House,Hong Kong,41 floors,2004,completed
4257,Symbol Tower,Osaka,132.60 m,435.04 ft,40 floors,1999,completed
4258,Yokohama I-Land Tower,Yokohama,120.00 m,393.70 ft,27 floors,2002,completed
4259,The Ritz-Carlton,Hong Kong,141.87 m,465.46 ft,31 floors,1993,under demolition
4260,Continental Building,New York City,155.76 m,511.01 ft,42 floors,1931,completed
4261,National Westminster Bank,New York City,122.84 m,403.02 ft,30 floors,1983,completed
4262,PZU S.A. Headquaters,Warsaw,40 floors,,canceled
4263,Torre Principal Teleporto,Goiânia,160.00 m,524.93 ft,40 floors,,approved
4264,Abuja International Tower & Hotel,Abuja,195.99 m,643.01 ft,55 floors,,canceled
4265,The Regal Tower,Dubai,134.03 m,439.71 ft,33 floors,2011,completed
4266,Hin Tsui House,Hong Kong,40 floors,1994,completed
4267,Four Seasons Hotel Houston,Houston,100.58 m,329.99 ft,29 floors,1981,completed
4268,Colonnade 57 Condominiums,New York City,150.30 m,493.11 ft,45 floors,1982,completed
4269,Waikiki Banyan Makai Tower,Honolulu,106.68 m,350.00 ft,38 floors,1979,completed
4270,Heritage Tower,Tampa,167.64 m,550.01 ft,40 floors,,canceled
4271,Abraj Al-Bait ZamZam Tower,Mecca,279.00 m,915.35 ft,58 floors,2012,completed
4272,Tai-Tang Commercial Tower I,Kaohsiung,95 floors,,proposed
4273,Karet Tower,Jakarta,183.31 m,601.41 ft,40 floors,,canceled
4274,919 Third Avenue,New York City,187.55 m,615.31 ft,47 floors,1971,completed
4275,Wanda East Port Tower 2,Dalian,175.00 m,574.15 ft,38 floors,2012,completed
4276,C&D International Tower,Xiamen,219.40 m,719.82 ft,49 floors,2013,completed
4277,Hoi Hei House,Hong Kong,41 floors,2004,completed
4278,Dongshan Plaza,Guangzhou,135.03 m,443.01 ft,28 floors,1995,completed
4279,Broadview Court 4,Hong Kong,47 floors,2001,completed
4280,Sky Tower 1,Istanbul,160.00 m,524.93 ft,42 floors,2011,completed
4281,Beijing World Financial Center,Beijing,130.75 m,428.97 ft,32 floors,1998,completed
4282,Destiny Tower,Panama City,44 floors,,frame assembly
4283,First Capital Centre,Jakarta,152.00 m,498.69 ft,32 floors,1997,completed
4284,Bonday Ben Thanh Tower,Ho Chi Minh City,170.01 m,557.78 ft,35 floors,,canceled
4285,Emerald Views,Oakland,139.30 m,457.00 ft,42 floors,,proposed
4286,Citypoint,Melbourne,103.00 m,337.93 ft,31 floors,2002,completed
4287,230 Peachtree Building,Atlanta,116.44 m,382.00 ft,29 floors,1965,completed
4288,Hydroproject Building,Moscow,100.00 m,328.08 ft,27 floors,1968,completed
4289,Renaissance Hotel Tianjin,Tianjin,202.99 m,665.97 ft,48 floors,2002,completed
4290,Alzar Izumiotsu Tower B,Izumiotsu,121.01 m,397.00 ft,36 floors,1994,completed
4291,Couture,Toronto,141.00 m,462.60 ft,42 floors,2013,completed
4292,Park Central 10,Hong Kong,162.40 m,532.81 ft,52 floors,2002,completed
4293,Tower 2,Sofia,270.06 m,886.01 ft,75 floors,,vision
4294,8 Wack Wack Road,Mandaluyong,40 floors,2000,completed
4295,Saturn V Dynamic Test Stand,Huntsville,109.73 m,360.00 ft,,1964,completed
4296,Bai-Li Crown Tower,Kaohsiung,100.00 m,328.08 ft,28 floors,,completed
4297,Century Tower I,Hong Kong,108.50 m,355.97 ft,31 floors,1971,completed
4298,Gazprom Transgaz Samara,Samara,101.00 m,331.36 ft,23 floors,2009,completed
4299,425 Park Avenue,New York City,118.26 m,388.01 ft,32 floors,1957,completed
4300,Ultima,Toronto,111.00 m,364.17 ft,36 floors,2005,completed
4301,Monterey Cove 2,Hong Kong,169.51 m,556.14 ft,54 floors,2003,completed
4302,Shimao Waitan Bund Garden 2,Fuzhou,48 floors,,frame assembly
4303,Oi Cheung House,Hong Kong,41 floors,2000,completed
4304,IAG House,Auckland,104.00 m,341.20 ft,29 floors,1988,completed
4305,Belvedere Garden 9,Hong Kong,44 floors,1989,completed
4306,Panorama Bay,Panama City,60 floors,,frame assembly
4307,Secretaria de Economía,Mexico City,105.00 m,344.49 ft,27 floors,1980,completed
4308,Boulevard Sul,São Paulo,101.20 m,332.02 ft,20 floors,2005,completed
4309,Hochhaus Konstablerwache,Frankfurt am Main,120.00 m,393.70 ft,30 floors,,vision
4310,Shinawatra Tower III,Bangkok,147.00 m,482.28 ft,38 floors,2000,completed
4311,Bandeirantes Torre Residencial E,São Paulo,45 floors,,proposed
4312,Dear Marks Capital Tower,Tokyo,115.70 m,379.59 ft,35 floors,2001,completed
4313,Athaydeville 37,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4314,Luxury Heights,Dubai,50 floors,2012,approved
4315,Cricklewood Tower,London,47 floors,,vision
4316,Xiwang Tower,Dalian,170.60 m,559.71 ft,40 floors,1999,completed
4317,Commonwealth Bank HQ,Sydney,190.00 m,623.36 ft,45 floors,,canceled
4318,Anadarko Allison Tower,The Woodlands,133.81 m,439.01 ft,32 floors,2002,completed
4319,The Meridian,Panama City,49 floors,,canceled
4320,Lighthouse Stockholm,Stockholm,104.00 m,341.21 ft,28 floors,,canceled
4321,Treze de Maio 33,Rio de Janeiro,121.69 m,399.25 ft,40 floors,,completed
4322,Terrasol 3,Panama City,128.00 m,419.95 ft,45 floors,2009,completed
4323,Oceanaire,Panama City,48 floors,2011,completed
4324,Ping Shun House,Hong Kong,40 floors,1997,completed
4325,Koryo Hotel II,Pyongyang,143.00 m,469.16 ft,45 floors,1985,completed
4326,E.ON U.S. Center,Louisville,100.00 m,328.08 ft,23 floors,1989,completed
4327,252 East 57th Street,New York City,217.90 m,714.90 ft,59 floors,2016,completed
4328,Arrowhead Quay Scheme B Residential Building,London,110.75 m,363.35 ft,36 floors,,canceled
4329,Fort Cambridge Tower,Sliema,40 floors,,proposed
4330,Sky Towers II,Orlando,100.59 m,330.00 ft,34 floors,,canceled
4331,Aja on the Bay,Miami,133.81 m,439.01 ft,41 floors,,canceled
4332,300 Madison Avenue,New York City,175.26 m,575.01 ft,38 floors,2003,completed
4333,Montgomery Tower,San Francisco,152.40 m,500.01 ft,38 floors,1982,completed
4334,Hilton San Francisco Union Square,San Francisco,150.27 m,493.01 ft,46 floors,1971,completed
4335,100 Van Ness Avenue,San Francisco,121.92 m,400.00 ft,29 floors,1974,completed
4336,1675 Broadway,New York City,150.82 m,494.82 ft,35 floors,1990,completed
4337,Pod Times Square Hotel,New York City,110.80 m,363.52 ft,35 floors,2017,completed
4338,SLS Lux Brickell,Miami,197.51 m,648.00 ft,58 floors,2018,completed
4339,Caoba Miami World Center Apartments,Miami,43 floors,2018,completed
4340,Panorama Tower,Miami,252.98 m,830.00 ft,83 floors,2018,completed
4341,Gran Paraiso,Miami,167.34 m,549.00 ft,55 floors,2018,completed
4342,The Morgan at Provost Square,Jersey City,124.67 m,409.01 ft,38 floors,,completed
4343,Keangnam Hanoi Residential Tower 1,Hanoi,212.00 m,695.54 ft,49 floors,2011,completed
4344,685 First Avenue,New York City,140.00 m,459.32 ft,42 floors,2019,completed
4345,425 California Street,San Francisco,109.00 m,357.61 ft,26 floors,1968,completed
4346,Istanbul Tower,Istanbul,225.00 m,738.19 ft,52 floors,2017,completed
4347,Ha'Arbaa Towers B,Tel Aviv,146.00 m,479.00 ft,35 floors,2016,completed
4348,Time Tower,Ramat Gan,135.00 m,442.91 ft,38 floors,2016,completed
4349,Kiara Apartments,Seattle,42 floors,2018,completed
4350,Ae'o,Honolulu,40 floors,2019,completed
4351,Agaoglu Andromeda Gold,Istanbul,181.00 m,593.83 ft,52 floors,,completed
4352,Warwick Hotel,New York City,110.64 m,363.01 ft,36 floors,1927,completed
4353,The Collection at 600 Ala Moana,Honolulu,137.20 m,450.13 ft,43 floors,2017,completed
4354,Royal Roads Place,Colwood,105.00 m,344.49 ft,29 floors,,canceled
4355,Marriott Vacation Club at Surfers Paradise,Gold Coast City,105.00 m,344.49 ft,30 floors,1992,completed
4356,The Oracle (Hinterland Tower),Gold Coast City,135.00 m,442.91 ft,40 floors,2010,completed
4357,Elizabeth Tower,Manchester,152.60 m,500.66 ft,52 floors,2021,frame assembly
4358,Hilton Cleveland Downtown,Cleveland,115.80 m,379.92 ft,28 floors,2016,completed
4359,The Quincy,Denver,102.69 m,336.92 ft,28 floors,2018,completed
4360,Swanston Square Apartment Tower,Melbourne,115.00 m,377.30 ft,33 floors,2015,completed
4361,United Harvest / United Grain,Vancouver,104.00 m,341.21 ft,25 floors,2012,completed
4362,Tower II,Atlantic Beach,40 floors,,canceled
4363,Tower I,Atlantic Beach,40 floors,,canceled
4364,NECOM House,Lagos,158.50 m,520.01 ft,32 floors,1979,completed
4365,MIRA,San Francisco,40 floors,2020,topped out
4366,Panorama City 1,Bratislava,108.40 m,355.64 ft,33 floors,2015,completed
4367,20-22 Currie Street,Adelaide,123.70 m,405.84 ft,32 floors,2010,canceled
4368,Scape Melbourne,Melbourne,146.00 m,479.00 ft,47 floors,2018,completed
4369,Yarra's Edge 3,Melbourne,100.00 m,328.08 ft,31 floors,2003,completed
4370,Array at Yarra's Edge,Melbourne,140.01 m,459.35 ft,47 floors,,completed
4371,Sapphire by the Gardens II,Melbourne,60 floors,2022,frame assembly
4372,Wesley Place,Melbourne,148.00 m,485.56 ft,35 floors,2021,frame assembly
4373,Queens Plaza Park,New York City,230.12 m,755.00 ft,67 floors,,topped out
4374,960 West 7th Street,Los Angeles,211.84 m,695.00 ft,64 floors,,site preparation
4375,900 West Randolph Street,Chicago,150.88 m,495.00 ft,43 floors,,approved
4376,Rainbow Building,Dalian,148.50 m,487.20 ft,39 floors,2002,completed
4377,Metro City II Tower 8,Hong Kong,136.60 m,448.16 ft,44 floors,2000,completed
4378,World Center 7th Street Apartments West Tower,Miami,40 floors,,site preparation
4379,Tianjin Long Distance Telecommunications Hinge Mansion,Tianjin,147.00 m,482.28 ft,31 floors,,completed
4380,Horto Bela Vista Torre Residencial 3,Salvador,44 floors,,approved
4381,Terminus 100,Atlanta,147.91 m,485.26 ft,26 floors,2007,completed
4382,Ping Sin House,Hong Kong,40 floors,1998,completed
4383,Jinsha Titan,Chongqing,168.00 m,551.18 ft,48 floors,2006,completed
4384,Arthur A. Schomburg Plaza II,New York City,104.85 m,344.00 ft,35 floors,1975,completed
4385,Hopewelle Centre 2,Hong Kong,55 floors,,proposed
4386,The Tower,Jakarta,211.80 m,694.88 ft,50 floors,2016,completed
4387,Sun Tuen Mun Centre 10,Hong Kong,150.25 m,492.95 ft,48 floors,1991,completed
4388,One West End,New York City,149.70 m,491.14 ft,41 floors,2017,completed
4389,Vauxhall Square A,London,168.00 m,551.18 ft,51 floors,2020,proposed
4390,The Mast,Durban,153.00 m,501.97 ft,40 floors,,canceled
4391,Royal Reforma II,Mexico City,101.00 m,331.36 ft,25 floors,1996,completed
4392,CITIC Tower,Hong Kong,126.00 m,413.39 ft,33 floors,1997,completed
4393,Conrad International Center Hotel Tower,Jakarta,42 floors,,canceled
4394,Hong Kong Plaza,Hong Kong,43 floors,1984,completed
4395,Posyolok Hudozhnikov,Moscow,110.00 m,360.89 ft,30 floors,2003,completed
4396,JR East Japan Headquarters,Tokyo,150.00 m,492.13 ft,28 floors,1997,completed
4397,Yanggakdo Hotel,Pyongyang,47 floors,1995,completed
4398,Palm Tower 2,Doha,244.50 m,802.17 ft,58 floors,2011,completed
4399,New Victory Hotel,Lanzhou,230.00 m,754.59 ft,51 floors,2015,completed
4400,Brooklyn Renaissance Plaza,New York City,121.31 m,398.01 ft,32 floors,1998,completed
4401,Nan Fung Plaza 6,Hong Kong,140.80 m,461.95 ft,45 floors,2000,completed
4402,Hwaseong Dongtan Metapolis 102,Hwaseong,223.80 m,734.25 ft,60 floors,2010,completed
4403,Hale Kaheka,Honolulu,102.72 m,337.00 ft,38 floors,1982,completed
4404,Taiping Finance Tower,Shenzhen,228.00 m,748.03 ft,48 floors,2015,completed
4405,China Central Place Tower 1,Beijing,167.00 m,547.90 ft,36 floors,2006,completed
4406,Rimal 1,Dubai,46 floors,2007,completed
4407,OAP Tower,Osaka,176.00 m,577.43 ft,39 floors,1994,completed
4408,Lasar Segall,João Pessoa,42 floors,2012,approved
4409,Xindi Center Office Tower 1,Hefei,211.00 m,692.26 ft,50 floors,2014,completed
4410,Daewoo Trump World I Tower B,Seoul,132.89 m,436.00 ft,41 floors,2002,completed
4411,The Tanner Hill 2,Hong Kong,49 floors,,completed
4412,Copper Pointe I,Phoenix,124.97 m,410.01 ft,40 floors,,canceled
4413,Marriott Marquis,Chicago,53 floors,,canceled
4414,Old City Harbor Tower II,Philadelphia,193.96 m,636.35 ft,37 floors,,canceled
4415,Verbena Heights 7,Hong Kong,123.35 m,404.69 ft,38 floors,1996,completed
4416,Shanghai China Merchants Plaza Office Building,Shanghai,186.00 m,610.24 ft,39 floors,1998,completed
4417,City Freeholds House,Sydney,100.00 m,328.08 ft,21 floors,1982,completed
4418,Nathani Heights,Mumbai,262.00 m,859.58 ft,73 floors,,foundation work
4419,Canary Wharf NQ3,London,203.35 m,667.16 ft,38 floors,,approved
4420,Shanghai Xinhua News & Information Building,Shanghai,120.00 m,393.70 ft,,1998,completed
4421,The Point,Panama City,266.00 m,872.70 ft,65 floors,2011,completed
4422,Capital Plaza,Louisville,115.83 m,380.00 ft,25 floors,,canceled
4423,Yuet Fung House,Hong Kong,40 floors,1999,completed
4424,Norberry Terrace,North Sydney,114.00 m,374.02 ft,29 floors,,proposed
4425,Bow Valley Square 2,Calgary,143.00 m,469.16 ft,39 floors,1975,completed
4426,Al Noor Tower,Sharjah,42 floors,2003,completed
4427,The Nicollet,Minneapolis,199.95 m,656.01 ft,56 floors,,canceled
4428,Athaydeville 8,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4429,Suzhou Henghe Plaza,Suzhou,180.00 m,590.55 ft,48 floors,2000,completed
4430,Kamogawa Grand Tower,Kamogawa,104.85 m,344.00 ft,33 floors,1992,completed
4431,Festival Tower,Toronto,156.70 m,514.11 ft,42 floors,2011,completed
4432,Discovery Park tower 10,Hong Kong,44 floors,1998,completed
4433,Aoyama Park Tower,Tokyo,119.95 m,393.54 ft,34 floors,2003,completed
4434,Waikiki Sunset,Honolulu,103.94 m,341.00 ft,37 floors,1979,completed
4435,Tianjin Exchange,Tianjin,105.00 m,344.48 ft,33 floors,1988,completed
4436,299 Park Avenue,New York City,174.96 m,574.01 ft,43 floors,1967,completed
4437,Puxi Wanda Plaza B,Quanzhou,180.00 m,590.55 ft,46 floors,2012,completed
4438,Seven World Trade Center,New York City,173.74 m,570.01 ft,47 floors,1987,destroyed
4439,Torre Valverde,Londrina,106.51 m,349.44 ft,28 floors,,frame assembly
4440,Times Square,Shenzhen,218.00 m,715.22 ft,54 floors,2006,completed
4441,Sede da Empresa Brasileira de Correios e Telegrafos,Rio de Janeiro,113.30 m,371.72 ft,28 floors,,completed
4442,Park Avenue Tower 6,Hong Kong,155.60 m,510.50 ft,51 floors,2000,completed
4443,Tellus Tower 2,Stockholm,177.00 m,580.71 ft,58 floors,,proposed
4444,Holycity Center Office Tower,Dongguan,56 floors,,frame assembly
4445,Greater Hudson Store,Detroit,124.97 m,410.01 ft,29 floors,1911,destroyed
4446,Menara Boustead,Kuala Lumpur,129.50 m,424.87 ft,32 floors,1987,completed
4447,Campeau Tower,Houston,330.10 m,1083.01 ft,80 floors,,canceled
4448,1121 Stewart Street,Seattle,40 floors,,proposed
4449,Panorama Plaza II,Riga,113.90 m,373.69 ft,32 floors,2007,completed
4450,Metro Harbourview 10,Hong Kong,171.00 m,561.02 ft,50 floors,2003,completed
4451,700 Delaware Avenue Tower 1,Philadelphia,45 floors,,canceled
4452,The Pinnacle 4,Hong Kong,145.00 m,475.72 ft,50 floors,,completed
4453,Bahar 7,Dubai,49 floors,2007,completed
4454,Rinku Gate Tower South,Izumisano,256.00 m,839.90 ft,56 floors,,canceled
4455,Le Meridien Grand Pacific Tokyo,Tokyo,113.31 m,371.75 ft,29 floors,1998,completed
4456,Bokel,Rio de Janeiro,129.74 m,425.66 ft,40 floors,1970,completed
4457,Marriott City Tower,San Diego,100.59 m,330.00 ft,30 floors,,canceled
4458,Grand Pier Tower,Chicago,73 floors,,canceled
4459,22 Marsh Wall,London,159.72 m,524.01 ft,35 floors,,canceled
4460,Jade Pavillion 6,Guangzhou,45 floors,1998,completed
4461,Metro City II Tower 2,Hong Kong,136.60 m,448.16 ft,44 floors,2000,completed
4462,Zorlu Center Tower A,Istanbul,107.00 m,351.05 ft,32 floors,2014,completed
4463,Brennand Plaza,Recife,124.50 m,408.46 ft,36 floors,2010,completed
4464,Casablanca Twin Center East Tower,Casablanca,115.00 m,377.29 ft,28 floors,1998,completed
4465,Shindorim Techno Mart,Seoul,40 floors,2008,completed
4466,Opera Tower,Miami,165.51 m,543.01 ft,56 floors,2007,completed
4467,Ping Yat House,Hong Kong,41 floors,2000,completed
4468,Victoria Interchange Building 2,London,134.00 m,439.63 ft,42 floors,,canceled
4469,Proximus Tower 1,Brussels,120.00 m,393.70 ft,32 floors,1994,completed
4470,Xiamen World Trade Center 2,Xiamen,169.00 m,554.46 ft,41 floors,,approved
4471,Du Mont Building,New York City,162.16 m,532.01 ft,42 floors,1931,completed
4472,The Com's City D Tower,Osaka,114.75 m,376.48 ft,35 floors,2003,completed
4473,Horto Bela Vista Torre Residencial 13,Salvador,44 floors,,approved
4474,Al Ayaan Sharjah Gate Tower,Sharjah,223.62 m,733.67 ft,56 floors,2008,completed
4475,Al Owais Tower,Ajman,47 floors,2009,completed
4476,China International Center Tower A,Guangzhou,120.01 m,393.72 ft,24 floors,2006,completed
4477,Haizhu City Plaza,Guangzhou,51 floors,,proposed
4478,Tanhyun Doosan We've the Zenith 101,Goyang,212.00 m,695.54 ft,53 floors,2013,completed
4479,RiverGate Block 93,Singapore,43 floors,2009,completed
4480,Boraq Tower,Dubai,45 floors,2009,completed
4481,Bahía del Golf 2,Panama City,40 floors,,frame assembly
4482,Wood Wharf Building W07D,London,113.30 m,371.72 ft,,,approved
4483,1835 Market Street,Philadelphia,129.54 m,425.01 ft,29 floors,1986,completed
4484,New Hangzhou Chess Center,Hangzhou,144.05 m,472.60 ft,36 floors,,completed
4485,Belvedere Garden 7,Hong Kong,45 floors,1989,completed
4486,Banco Central de Venezuela,Caracas,117.00 m,383.86 ft,26 floors,1967,completed
4487,X-Seed 4000,Tokyo,4000.00 m,13123.36 ft,,,vision
4488,Toa Payoh Block 79A,Singapore,40 floors,2008,completed
4489,Farglory International Plaza,Qingdao,223.00 m,731.63 ft,42 floors,2011,completed
4490,Xiqi International Hotel 3,Nanchang,135.00 m,442.91 ft,35 floors,,frame assembly
4491,Orbit Arya,Mumbai,111.65 m,366.31 ft,27 floors,,frame assembly
4492,Menara Matahari,Tangerang,162.00 m,531.50 ft,41 floors,1996,completed
4493,International Trade Building,Xiamen,168.00 m,551.18 ft,45 floors,1995,completed
4494,641 Lexington Avenue,New York City,124.97 m,410.01 ft,32 floors,1964,completed
4495,N1/N2,Toronto,41 floors,,completed
4496,New York Coliseum Tower,New York City,105.16 m,345.00 ft,26 floors,1956,destroyed
4497,Ankara Metropolitan Municipality Building,Ankara,100.00 m,328.08 ft,26 floors,2006,completed
4498,Nord Park A,Moscow,40 floors,2008,frame assembly
4499,The Atlantic Centre,Xiamen,142.50 m,467.52 ft,37 floors,,completed
4500,The Riverside Tower 1,Guangzhou,50 floors,2007,completed
4501,2121 Ala Wai Boulevard,Honolulu,105.77 m,347.00 ft,41 floors,1977,completed
4502,Grand Waterfront 1,Hong Kong,58 floors,2007,completed
4503,Ching Wo House,Hong Kong,43 floors,2000,completed
4504,88 on Field,Durban,146.50 m,480.64 ft,26 floors,1985,completed
4505,Hanover Post Oak,Houston,100.60 m,330.05 ft,29 floors,2014,completed
4506,Nayabashi Western Area Redevelopment,Nagoya,110.00 m,360.89 ft,34 floors,,approved
4507,Vision City 1,Hong Kong,192.00 m,629.92 ft,53 floors,2007,completed
4508,MGM Grand Atlantic City - Tower III,Atlantic City,56 floors,,canceled
4509,Athaydeville 54,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4510,Bauhinia Garden 1,Hong Kong,44 floors,2001,completed
4511,Villa Europa,São Paulo,116.70 m,382.87 ft,31 floors,2012,completed
4512,ASB Bank Centre,Auckland,116.00 m,380.58 ft,31 floors,1991,completed
4513,Abu Dhabi Oil Refining Company Tower,Abu Dhabi,117.00 m,383.86 ft,29 floors,2004,completed
4514,9 Connaught Road West,Hong Kong,135.00 m,442.91 ft,31 floors,,completed
4515,LG Twin Tower 2,Beijing,140.50 m,460.96 ft,30 floors,2005,completed
4516,Selenium Twins 1,Istanbul,141.00 m,462.60 ft,34 floors,2008,completed
4517,Morada do Sol VII,Rio de Janeiro,122.18 m,400.85 ft,36 floors,1967,completed
4518,Cirrus,Seattle,134.11 m,440.00 ft,38 floors,2015,completed
4519,York Centre,Toronto,110.00 m,360.89 ft,27 floors,1972,completed
4520,Horto Bela Vista Torre Residencial 5,Salvador,44 floors,,approved
4521,Aura,Sacramento,131.07 m,430.01 ft,37 floors,2009,canceled
4522,Tower Bridge Corporate,São Paulo,124.00 m,406.82 ft,30 floors,2012,completed
4523,Oko Tower 2,Moscow,224.45 m,736.38 ft,47 floors,2015,completed
4524,Manhattan Tower,Rio de Janeiro,114.00 m,374.02 ft,33 floors,1992,completed
4525,City Tower,Høje-Taastrup,106.00 m,347.77 ft,27 floors,,approved
4526,Tseung Kwan O Plaza 3A,Hong Kong,56 floors,2004,completed
4527,Le Point Tower 10,Hong Kong,59 floors,2008,completed
4528,The Gateway Tower 6,Hong Kong,128.90 m,422.90 ft,35 floors,1999,completed
4529,AMP Building,Perth,131.00 m,429.79 ft,30 floors,1976,completed
4530,Kwong Lung House,Hong Kong,40 floors,1998,completed
4531,135 Greenwich Street,New York City,112.17 m,368.01 ft,33 floors,,canceled
4532,Royal Bank Plaza South Tower,Toronto,180.00 m,590.55 ft,40 floors,1979,completed
4533,301 South Wacker Drive,Chicago,46 floors,,proposed
4534,Grand View I,Chicago,60 floors,,canceled
4535,Torre del Parque,Buenos Aires,144.00 m,472.44 ft,43 floors,2006,completed
4536,Aurora Tower 1,Abu Dhabi,220.00 m,721.78 ft,53 floors,,frame assembly
4537,Hing Hong House,Hong Kong,43 floors,1996,completed
4538,RAI Hotel,Amsterdam,125.00 m,410.10 ft,,,canceled
4539,Southbank,Singapore,40 floors,2010,completed
4540,Devon Energy Center,Houston,158.80 m,521.00 ft,36 floors,1978,completed
4541,Lighthouse Tower,Dubai,402.07 m,1319.14 ft,64 floors,,canceled
4542,Coral Tower,Sharjah,40 floors,,approved
4543,Sichuan Airlines Plaza,Chengdu,204.00 m,669.29 ft,47 floors,2016,completed
4544,148 Electric Road,Hong Kong,158.00 m,518.37 ft,41 floors,2001,completed
4545,Park Avenue Tower 8,Hong Kong,155.60 m,510.50 ft,51 floors,2000,completed
4546,Mita 3 Chome Plan,Tokyo,179.30 m,588.25 ft,43 floors,2006,completed
4547,Tianhebei Tower,Guangzhou,212.00 m,695.54 ft,55 floors,2015,completed
4548,Torre Iberdrola,Bilbao,165.00 m,541.34 ft,40 floors,2011,completed
4549,Xiqi International Hotel 1,Nanchang,186.00 m,610.24 ft,38 floors,,frame assembly
4550,Hibiya Kokusai Building,Tokyo,128.00 m,419.95 ft,31 floors,1981,completed
4551,Oi Wah House,Hong Kong,41 floors,2000,completed
4552,Saint Ann Court,Dallas,101.65 m,333.50 ft,25 floors,2009,completed
4553,TAT Towers 2,Istanbul,143.00 m,469.16 ft,34 floors,2000,completed
4554,1918 Eighth Avenue,Seattle,152.40 m,500.01 ft,36 floors,2009,completed
4555,Tekstilkent Plaza 1,Istanbul,168.00 m,551.18 ft,44 floors,2000,completed
4556,Roppongi T-CUBE,Tokyo,138.46 m,454.27 ft,27 floors,2003,completed
4557,Shanghai Lucky Hotel,Shanghai,100.00 m,328.08 ft,30 floors,,completed
4558,Thor Tower,New York City,55 floors,,canceled
4559,Lincoln Financial Building,Greensboro,114.00 m,374.01 ft,20 floors,1990,completed
4560,Hilton Nagoya,Nagoya,110.50 m,362.53 ft,25 floors,1989,completed
4561,Grand Skylight Hotel,Shenzhen,120.57 m,395.57 ft,38 floors,1989,completed
4562,1000 North Orange,Orlando,42 floors,,proposed
4563,410 Building,Denver,102.11 m,335.00 ft,24 floors,1978,completed
4564,Ministerie van Binnenlandse Zaken,The Hague,146.00 m,479.00 ft,38 floors,2012,completed
4565,Mid Tower,Tokyo,192.00 m,629.92 ft,58 floors,2008,completed
4566,Sathorn Square Tower 2,Bangkok,207.00 m,679.13 ft,45 floors,,proposed
4567,One Raffles Place Tower 2,Singapore,209.60 m,687.66 ft,38 floors,2012,completed
4568,Shaanxi Information Mansion,Xi'an,228.00 m,748.03 ft,51 floors,2006,completed
4569,Torre Azul,Natal,111.50 m,365.81 ft,35 floors,,completed
4570,600 3rd Avenue,New York City,173.74 m,570.01 ft,42 floors,1972,completed
4571,Royal Peninsula Tower 5,Hong Kong,140.00 m,459.32 ft,45 floors,2001,completed
4572,Athaydeville 65,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
4573,LT Square Phase I,Shanghai,40 floors,,completed
4574,East Gate Plaza tower A,Beijing,112.00 m,367.45 ft,34 floors,1998,completed
4575,80 Pine Street,New York City,151.50 m,497.05 ft,40 floors,1960,completed
4576,Hotel Nikko Dalian,Dalian,148.00 m,485.56 ft,36 floors,2000,completed
4577,B & W Tower,Louisville,110.64 m,363.01 ft,26 floors,1982,completed
4578,The Pinnacle 2,Hong Kong,145.00 m,475.72 ft,50 floors,,completed
4579,JLB Tower,Guangzhou,162.25 m,532.32 ft,39 floors,1999,completed
